"Connector Name","Connector Description","Tables","Data collection rule support","Supported by"
"Amazon Web Services S3 DNS Route53 (via Codeless Connector Framework)","This connector enables ingestion of AWS Route 53 DNS logs into Microsoft Sentinel for enhanced visibility and threat detection. It supports DNS Resolver query logs ingested directly from AWS S3 buckets, while Public DNS query logs and Route 53 audit logs can be ingested using Microsoft Sentinel's AWS CloudWatch and CloudTrail connectors. Comprehensive instructions are provided to guide you through the setup of each log type. Leverage this connector to monitor DNS activity, detect potential threats, and improve your security posture in cloud environments.","AWSRoute53Resolver","FALSE","Microsoft Corporation"
"Amazon Web Services S3 WAF","This connector allows you to ingest AWS WAF logs, collected in AWS S3 buckets, to Microsoft Sentinel. AWS WAF logs are detailed records of traffic that web access control lists (ACLs) analyze, which are essential for maintaining the security and performance of web applications. These logs contain information such as the time AWS WAF received the request, the specifics of the request, and the action taken by the rule that the request matched.","AWSWAF","FALSE","Microsoft Corporation"
"ARGOS Cloud Security","The ARGOS Cloud Security integration for Microsoft Sentinel allows you to have all your important cloud security events in one place. This enables you to easily create dashboards, alerts, and correlate events across multiple systems. Overall this will improve your organization's security posture and security incident response.","ARGOS_CL","FALSE","ARGOS Cloud Security"
"Armis Alerts Activities (using Azure Functions)","The Armis Alerts Activities connector gives the capability to ingest Armis Alerts and Activities into Microsoft Sentinel through the Armis REST API. Refer to the API documentation: https://<YourArmisInstance>.armis.com/api/v1/docs for more information. The connector provides the ability to get alert and activity information from the Armis platform and to identify and prioritize threats in your environment. Armis uses your existing infrastructure to discover and identify devices without having to deploy any agents.","Armis_Alerts_CL; Armis_Activities_CL","FALSE","Armis Corporation"
"Armis Devices (using Azure Functions)","The Armis Device connector gives the capability to ingest Armis Devices into Microsoft Sentinel through the Armis REST API. Refer to the API documentation: https://<YourArmisInstance>.armis.com/api/v1/docs for more information. The connector provides the ability to get device information from the Armis platform. Armis uses your existing infrastructure to discover and identify devices without having to deploy any agents. Armis can also integrate with your existing IT & security management tools to identify and classify each and every device, managed or unmanaged in your environment.","Armis_Devices_CL;","FALSE","Armis Corporation"
"Atlassian Beacon Alerts","Atlassian Beacon is a cloud product that is built for Intelligent threat detection across the Atlassian platforms (Jira, Confluence, and Atlassian Admin). This can help users detect, investigate and respond to risky user activity for the Atlassian suite of products. The solution is a custom data connector from DEFEND Ltd. that is used to visualize the alerts ingested from Atlassian Beacon to Microsoft Sentinel via a Logic App.","atlassian_beacon_alerts_CL","FALSE","DEFEND Ltd."
"Atlassian Confluence Audit (via Codeless Connector Framework)","The Atlassian Confluence Audit data connector provides the capability to ingest Confluence Audit Records events into Microsoft Sentinel through the REST API. Refer to API documentation for more information. The connector enables event retrieval to assess potential security risks, monitor collaboration, and diagnose and troubleshoot configuration issues.","ConfluenceAuditLogs_CL","FALSE","Microsoft Corporation"
"Atlassian Jira Audit (using Azure Functions)","The Atlassian Jira Audit data connector provides the capability to ingest Jira Audit Records events into Microsoft Sentinel through the REST API. Refer to API documentation for more information. The connector enables event retrieval to assess potential security risks, monitor collaboration, and diagnose and troubleshoot configuration issues.","Jira_Audit_CL","FALSE","Microsoft Corporation"
"Atlassian Jira Audit (using REST API)","The Atlassian Jira Audit data connector provides the capability to ingest Jira Audit Records events into Microsoft Sentinel through the REST API. Refer to API documentation for more information. The connector enables event retrieval to assess potential security risks, monitor collaboration, and diagnose and troubleshoot configuration issues.","Jira_Audit_v2_CL","FALSE","Microsoft Corporation"
"Auth0 Access Management (using Azure Functions)","The Auth0 Access Management data connector provides the capability to ingest Auth0 log events into Microsoft Sentinel","Auth0AM_CL","FALSE","Microsoft Corporation"
"Auth0 Logs","The Auth0 data connector allows ingesting logs from Auth0 API into Microsoft Sentinel. The data connector is built on Microsoft Sentinel Codeless Connector Framework. It uses Auth0 API to fetch logs and it supports DCR-based ingestion time transformations that parses the received security data into a custom table so that queries don't need to parse it again, thus resulting in better performance.","Auth0Logs_CL","FALSE","Microsoft Corporation"
"Automated Logic WebCTRL","You can stream the audit logs from the WebCTRL SQL server hosted on Windows machines connected to your Microsoft Sentinel. This connection enables you to view dashboards, create custom alerts and improve investigation. This gives insights into your Industrial Control Systems that are monitored or controlled by the WebCTRL BAS application.","Event","FALSE","Microsoft Corporation"
"AWS S3 Server Access Logs (via Codeless Connector Framework) (Preview)","This connector allows you to ingest AWS S3 Server Access Logs into Microsoft Sentinel. These logs contain detailed records for requests made to S3 buckets, including the type of request, resource accessed, requester information, and response details. These logs are useful for analyzing access patterns, debugging issues, and ensuring security compliance.","AWSS3ServerAccess","FALSE","Microsoft Corporation"
"AWS Security Hub Findings (via Codeless Connector Framework)","This connector enables the ingestion of AWS Security Hub Findings, which are collected in AWS S3 buckets, into Microsoft Sentinel. It helps streamline the process of monitoring and managing security alerts by integrating AWS Security Hub Findings with Microsoft Sentinel's advanced threat detection and response capabilities.","AWSSecurityHubFindings","FALSE","Microsoft Corporation"
"Azure Activity","Azure Activity Log is a subscription log that provides insight into subscription-level events that occur in Azure, including events from Azure Resource Manager operational data, service health events, write operations taken on the resources in your subscription, and the status of activities performed in Azure.","AzureActivity","FALSE","Microsoft Corporation"
"Azure Batch Account","Azure Batch Account is a uniquely identified entity within the Batch service. Most Batch solutions use Azure Storage for storing resource files and output files, so each Batch account is usually associated with a corresponding storage account. This connector lets you stream your Azure Batch account diagnostics logs into Microsoft Sentinel, allowing you to continuously monitor activity. For more information, see the Microsoft Sentinel documentation .","AzureDiagnostics","FALSE","Microsoft Corporation"
"Azure CloudNGFW By Palo Alto Networks","Cloud Next-Generation Firewall by Palo Alto Networks - an Azure Native ISV Service - is Palo Alto Networks Next-Generation Firewall (NGFW) delivered as a cloud-native service on Azure. You can discover Cloud NGFW in the Azure Marketplace and consume it in your Azure Virtual Networks (VNet). With Cloud NGFW, you can access the core NGFW capabilities such as App-ID, URL filtering based technologies. It provides threat prevention and detection through cloud-delivered security services and threat prevention signatures. The connector allows you to easily connect your Cloud NGFW logs with Microsoft Sentinel, to view dashboards, create custom alerts, and improve investigation. This gives you more insight into your organization's network and improves your security operation capabilities. For more information, see the Cloud NGFW for Azure documentation .","fluentbit_CL","FALSE","Palo Alto Networks"
"Azure Cognitive Search","Azure Cognitive Search is a cloud search service that gives developers infrastructure, APIs, and tools for building a rich search experience over private, heterogeneous content in web, mobile, and enterprise applications. This connector lets you stream your Azure Cognitive Search diagnostics logs into Microsoft Sentinel, allowing you to continuously monitor activity.","AzureDiagnostics","FALSE","Microsoft Corporation"
"Azure DDoS Protection","Connect to Azure DDoS Protection Standard logs via Public IP Address Diagnostic Logs. In addition to the core DDoS protection in the platform, Azure DDoS Protection Standard provides advanced DDoS mitigation capabilities against network attacks. It's automatically tuned to protect your specific Azure resources. Protection is simple to enable during the creation of new virtual networks. It can also be done after creation and requires no application or resource changes. For more information, see the Microsoft Sentinel documentation .","AzureDiagnostics","FALSE","Microsoft Corporation"
"Azure DevOps Audit Logs (via Codeless Connector Framework)","The Azure DevOps Audit Logs data connector allows you to ingest audit events from Azure DevOps into Microsoft Sentinel. This data connector is built using the Microsoft Sentinel Codeless Connector Framework, ensuring seamless integration. It leverages the Azure DevOps Audit Logs API to fetch detailed audit events and supports DCR-based ingestion time transformations . These transformations enable parsing of the received audit data into a custom table during ingestion, improving query performance by eliminating the need for additional parsing. By using this connector, you can gain enhanced visibility into your Azure DevOps environment and streamline your security operations.","ADOAuditLogs_CL","FALSE","Microsoft Corporation"
"Azure Event Hub","Azure Event Hubs is a big data streaming platform and event ingestion service. It can receive and process millions of events per second. This connector lets you stream your Azure Event Hub diagnostics logs into Microsoft Sentinel, allowing you to continuously monitor activity.","AzureDiagnostics","FALSE","Microsoft Corporation"
"Azure Firewall","Connect to Azure Firewall. Azure Firewall is a managed, cloud-based network security service that protects your Azure Virtual Network resources. It's a fully stateful firewall as a service with built-in high availability and unrestricted cloud scalability. For more information, see the Microsoft Sentinel documentation .","AzureDiagnostics; AZFWApplicationRule; AZFWFlowTrace; AZFWFatFlow; AZFWNatRule; AZFWDnsQuery; AZFWIdpsSignature; AZFWInternalFqdnResolutionFailure; AZFWNetworkRule; AZFWThreatIntel","FALSE","Microsoft Corporation"
"Azure Key Vault","Azure Key Vault is a cloud service for securely storing and accessing secrets. A secret is anything that you want to tightly control access to, such as API keys, passwords, certificates, or cryptographic keys. This connector lets you stream your Azure Key Vault diagnostics logs into Microsoft Sentinel, allowing you to continuously monitor activity in all your instances. For more information, see the Microsoft Sentinel documentation .","AzureDiagnostics","FALSE","Microsoft Corporation"
"Azure Kubernetes Service (AKS)","Azure Kubernetes Service (AKS) is an open-source, fully-managed container orchestration service that allows you to deploy, scale, and manage Docker containers and container-based applications in a cluster environment. This connector lets you stream your Azure Kubernetes Service (AKS) diagnostics logs into Microsoft Sentinel, allowing you to continuously monitor activity in all your instances. For more information, see the Microsoft Sentinel documentation .","AzureDiagnostics","FALSE","Microsoft Corporation"
"Azure Logic Apps","Azure Logic Apps is a cloud-based platform for creating and running automated workflows that integrate your apps, data, services, and systems. This connector lets you stream your Azure Logic Apps diagnostics logs into Microsoft Sentinel, allowing you to continuously monitor activity.","AzureDiagnostics","FALSE","Microsoft Corporation"
"Azure Resource Graph","Azure Resource Graph connector gives richer insights into Azure events by supplementing details about Azure subscriptions and Azure resources.","No Table Information available.","FALSE","Microsoft Corporation"
"Azure Service Bus","Azure Service Bus is a fully managed enterprise message broker with message queues and publish-subscribe topics (in a namespace). This connector lets you stream your Azure Service Bus diagnostics logs into Microsoft Sentinel, allowing you to continuously monitor activity.","AzureDiagnostics","FALSE","Microsoft Corporation"
"Azure SQL Databases","Azure SQL is a fully managed, Platform-as-a-Service (PaaS) database engine that handles most database management functions, such as upgrading, patching, backups, and monitoring, without necessitating user involvement. This connector lets you stream your Azure SQL databases audit and diagnostic logs into Microsoft Sentinel, allowing you to continuously monitor activity in all your instances.","AzureDiagnostics","FALSE","Microsoft Corporation"
"Azure Storage Account","Azure Storage account is a cloud solution for modern data storage scenarios. It contains all your data objects: blobs, files, queues, tables, and disks. This connector lets you stream Azure Storage accounts diagnostics logs into your Microsoft Sentinel workspace, allowing you to continuously monitor activity in all your instances, and detect malicious activity in your organization. For more information, see the Microsoft Sentinel documentation .","AzureMetrics; StorageBlobLogs; StorageQueueLogs; StorageTableLogs; StorageFileLogs","FALSE","Microsoft Corporation"
"Azure Stream Analytics","Azure Stream Analytics is a real-time analytics and complex event-processing engine that is designed to analyze and process high volumes of fast streaming data from multiple sources simultaneously. This connector lets you stream your Azure Stream Analytics hub diagnostics logs into Microsoft Sentinel, allowing you to continuously monitor activity.","AzureDiagnostics","FALSE","Microsoft Corporation"
"Azure Web Application Firewall (WAF)","Connect to the Azure Web Application Firewall (WAF) for Application Gateway, Front Door, or CDN. This WAF protects your applications from common web vulnerabilities such as SQL injection and cross-site scripting, and lets you customize rules to reduce false positives. Instructions to stream your Microsoft Web application firewall logs into Microsoft Sentinel are shown during the installation process. For more information, see the Microsoft Sentinel documentation .","AzureDiagnostics","FALSE","Microsoft Corporation"
"BETTER Mobile Threat Defense (MTD)","The BETTER MTD Connector allows Enterprises to connect their Better MTD instances with Microsoft Sentinel, to view their data in Dashboards, create custom alerts, use it to trigger playbooks and expands threat hunting capabilities. This gives users more insight into their organization's mobile devices and ability to quickly analyze current mobile security posture which improves their overall SecOps capabilities.","BetterMTDIncidentLog_CL; BetterMTDDeviceLog_CL; BetterMTDNetflowLog_CL; BetterMTDAppLog_CL","FALSE","Better Mobile Security Inc."
"Bitglass (using Azure Functions)","The Bitglass data connector provides the capability to retrieve security event logs of the Bitglass services and more events into Microsoft Sentinel through the REST API. The connector enables event retrieval to assess potential security risks, monitor collaboration, and diagnose and troubleshoot configuration issues.","BitglassLogs_CL","FALSE","Microsoft Corporation"
"Bitsight data connector (using Azure Functions)","The BitSight Data Connector supports evidence-based cyber risk monitoring by bringing BitSight data in Microsoft Sentinel.","Alerts_data_CL; BitsightBreaches_data_CL; BitsightCompany_details_CL; BitsightCompany_rating_details_CL; BitsightDiligence_historical_statistics_CL; BitsightDiligence_statistics_CL; BitsightFindings_data_CL; BitsightFindings_summary_CL; BitsightGraph_data_CL; BitsightIndustrial_statistics_CL; BitsightObservation_statistics_CL","FALSE","BitSight Support"
"Bitwarden Event Logs","This connector provides insight into activity of your Bitwarden organization such as user's activity (logged in, changed password, 2fa, etc.), cipher activity (created, updated, deleted, shared, etc.), collection activity, organization activity, and more.","BitwardenEventLogs","FALSE","Bitwarden Inc"
"Box (using Azure Functions)","The Box data connector provides the capability to ingest Box enterprise's events into Microsoft Sentinel using the Box REST API. Refer to Box documentation for more information.","BoxEvents_CL","FALSE","Microsoft Corporation"
"Box Events (CCF)","The Box data connector provides the capability to ingest Box enterprise's events into Microsoft Sentinel using the Box REST API. Refer to Box documentation for more information.","BoxEventsV2_CL","FALSE","Microsoft Corporation"
"Check Point CloudGuard CNAPP Connector for Microsoft Sentinel","The CloudGuard data connector enables the ingestion of security events from the CloudGuard API into Microsoft Sentinel™, using Microsoft Sentinel’s Codeless Connector Framework. The connector supports DCR-based ingestion time transformations which parses incoming security event data into custom columns. This pre-parsing process eliminates the need for query-time parsing, resulting in improved performance for data queries.","CloudGuard_SecurityEvents_CL","FALSE","Check Point"
"Check Point Cyberint Alerts Connector (via Codeless Connector Framework)","Cyberint, a Check Point company, provides a Microsoft Sentinel integration to streamline critical Alerts and bring enriched threat intelligence from the Infinity External Risk Management solution into Microsoft Sentinel. This simplifies the process of tracking the status of tickets with automatic sync updates across systems. Using this new integration for Microsoft Sentinel, existing Cyberint and Microsoft Sentinel customers can easily pull logs based on Cyberint's findings into Microsoft Sentinel platform.","argsentdc_CL","FALSE","Cyberint"
"Check Point Cyberint IOC Connector","This is data connector for Check Point Cyberint IOC.","No Table Information available.","FALSE","Cyberint"
"Cisco ASA/FTD via AMA","The Cisco ASA firewall connector allows you to easily connect your Cisco ASA logs with Microsoft Sentinel, to view dashboards, create custom alerts, and improve investigation. This gives you more insight into your organization's network and improves your security operation capabilities.","CommonSecurityLog","TRUE","Microsoft Corporation"
"Cisco Cloud Security (using Azure Functions)","The Cisco Cloud Security solution for Microsoft Sentinel enables you to ingest Cisco Secure Access and Cisco Umbrella logs stored in Amazon S3 into Microsoft Sentinel using the Amazon S3 REST API. Refer to Cisco Cloud Security log management documentation for more information.","Cisco_Umbrella_dns_CL; Cisco_Umbrella_proxy_CL; Cisco_Umbrella_ip_CL; Cisco_Umbrella_cloudfirewall_CL; Cisco_Umbrella_firewall_CL; Cisco_Umbrella_dlp_CL; Cisco_Umbrella_ravpnlogs_CL; Cisco_Umbrella_audit_CL; Cisco_Umbrella_ztna_CL; Cisco_Umbrella_intrusion_CL; Cisco_Umbrella_ztaflow_CL; Cisco_Umbrella_fileevent_CL","FALSE","Microsoft Corporation"
"Cisco Duo Security (using Azure Functions)","The Cisco Duo Security data connector provides the capability to ingest authentication logs , administrator logs , telephony logs , offline enrollment logs and Trust Monitor events into Microsoft Sentinel using the Cisco Duo Admin API. Refer to API documentation for more information.","CiscoDuo_CL","FALSE","Microsoft Corporation"
"Cisco ETD (using Azure Functions)","The connector fetches data from ETD api for threat analysis","CiscoETD_CL","FALSE","Cisco Systems"
"Cisco Meraki (using REST API)","The Cisco Meraki connector allows you to easily connect your Cisco Meraki organization events (Security events, Configuration Changes and API Requests) to Microsoft Sentinel. The data connector uses the Cisco Meraki REST API to fetch logs and supports DCR-based ingestion time transformations that parses the received data and ingests into ASIM and custom tables in your Log Analytics workspace. This data connector benefits from capabilities such as DCR based ingestion-time filtering, data normalization. Supported ASIM schema: 1. Network Session 2. Web Session 3. Audit Event","ASimNetworkSessionLogs","FALSE","Microsoft Corporation"
"Cisco Secure Endpoint (via Codeless Connector Framework)","The Cisco Secure Endpoint (formerly AMP for Endpoints) data connector provides the capability to ingest Cisco Secure Endpoint audit logs and events into Microsoft Sentinel.","CiscoSecureEndpointAuditLogsV2_CL; CiscoSecureEndpointEventsV2_CL","FALSE","Microsoft Corporation"
"Cisco Software Defined WAN","The Cisco Software Defined WAN(SD-WAN) data connector provides the capability to ingest Cisco SD-WAN Syslog and Netflow data into Microsoft Sentinel.","Syslog; CiscoSDWANNetflow_CL","TRUE","Cisco Systems"
"Claroty xDome","Claroty xDome delivers comprehensive security and alert management capabilities for healthcare and industrial network environments. It is designed to map multiple source types, identify the collected data, and integrate it into Microsoft Sentinel data models. This results in the ability to monitor all potential threats in your healthcare and industrial environments in one location, leading to more effective security monitoring and a stronger security posture.","CommonSecurityLog","TRUE","xDome Customer Support"
"Cloudflare (Preview) (using Azure Functions)","The Cloudflare data connector provides the capability to ingest Cloudflare logs into Microsoft Sentinel using the Cloudflare Logpush and Azure Blob Storage. Refer to Cloudflare documentation for more information.","Cloudflare_CL","FALSE","Cloudflare"
"Cognni","The Cognni connector offers a quick and simple integration with Microsoft Sentinel. You can use Cognni to autonomously map your previously unclassified important information and detect related incidents. This allows you to recognize risks to your important information, understand the severity of the incidents, and investigate the details you need to remediate, fast enough to make a difference.","CognniIncidents_CL","FALSE","Cognni"
"Cohesity (using Azure Functions)","The Cohesity function apps provide the ability to ingest Cohesity Datahawk ransomware alerts into Microsoft Sentinel.","Cohesity_CL","FALSE","Cohesity"
"CommvaultSecurityIQ (using Azure Functions)","This Azure Function enables Commvault users to ingest alerts/events into their Microsoft Sentinel instance. With Analytic Rules,Microsoft Sentinel can automatically create Microsoft Sentinel incidents from incoming events and logs.","CommvaultSecurityIQ_CL","FALSE","Commvault"
"Corelight Connector Exporter","The Corelight data connector enables incident responders and threat hunters who use Microsoft Sentinel to work faster and more effectively. The data connector enables ingestion of events from Zeek and Suricata via Corelight Sensors into Microsoft Sentinel.","Corelight","FALSE","Corelight"
"Cortex XDR - Incidents","Custom Data connector from DEFEND to utilise the Cortex API to ingest incidents from Cortex XDR platform into Microsoft Sentinel.","CortexXDR_Incidents_CL","FALSE","DEFEND Ltd."
"Cribl","The Cribl connector allows you to easily connect your Cribl (Cribl Enterprise Edition - Standalone) logs with Microsoft Sentinel. This gives you more security insight into your organization's data pipelines.","CriblInternal_CL","FALSE","Cribl"
"CrowdStrike API Data Connector (via Codeless Connector Framework) (Preview)","The CrowdStrike Data Connector allows ingesting logs from the CrowdStrike API into Microsoft Sentinel. This connector is built on the Microsoft Sentinel Codeless Connector Framework and uses the CrowdStrike API to fetch logs for Alerts, Detections, Hosts, Incidents, and Vulnerabilities. It supports DCR-based ingestion time transformations so that queries can run more efficiently.","CrowdStrikeVulnerabilities","FALSE","Microsoft Corporation"
"CrowdStrike Falcon Adversary Intelligence (using Azure Functions)","The CrowdStrike Falcon Indicators of Compromise connector retrieves the Indicators of Compromise from the Falcon Intel API and uploads them Microsoft Sentinel Threat Intel .","ThreatIntelligenceIndicator","FALSE","Microsoft Corporation"
"CrowdStrike Falcon Data Replicator (AWS S3) (via Codeless Connector Framework)","The Crowdstrike Falcon Data Replicator (S3) connector provides the capability to ingest FDR event datainto Microsoft Sentinel from the AWS S3 bucket where the FDR logs have been streamed. The connector provides ability to get events from Falcon Agents which helps to examine potential security risks, analyze your team's use of collaboration, diagnose configuration problems and more. NOTE: 1. CrowdStrike FDR license must be available & enabled. 2. The connector requires an IAM role to be configured on AWS to allow access to the AWS S3 bucket and may not be suitable for environments that leverage CrowdStrike - managed buckets. 3. For environments that leverage CrowdStrike-managed buckets, please configure the CrowdStrike Falcon Data Replicator (CrowdStrike-Managed AWS S3) connector.","CrowdStrike_Additional_Events_CL","FALSE","Microsoft Corporation"
"CrowdStrike Falcon Data Replicator (CrowdStrike Managed AWS-S3) (using Azure Functions)","This connector enables the ingestion of FDR data into Microsoft Sentinel using Azure Functions to support the assessment of potential security risks, analysis of collaboration activities, identification of configuration issues, and other operational insights. NOTE: 1. CrowdStrike FDR license must be available & enabled. 2. The connector uses a Key & Secret based authentication and is suitable for CrowdStrike Managed buckets. 3. For environments that use a fully owned AWS S3 bucket, Microsoft recommends using the CrowdStrike Falcon Data Replicator (AWS S3) connector.","CrowdStrikeReplicatorV2","FALSE","Microsoft Corporation"
"CTERA Syslog","The CTERA Data Connector for Microsoft Sentinel offers monitoring and threat detection capabilities for your CTERA solution. It includes a workbook visualizing the sum of all operations per type, deletions, and denied access operations. It also provides analytic rules which detects ransomware incidents and alert you when a user is blocked due to suspicious ransomware activity. Additionally, it helps you identify critical patterns such as mass access denied events, mass deletions, and mass permission changes, enabling proactive threat management and response.","Syslog","TRUE","CTERA"
"Custom logs via AMA","Many applications log information to text or JSON files instead of standard logging services, such as Windows Event logs, Syslog or CEF. The Custom Logs data connector allows you to collect events from files on both Windows and Linux computers and stream them to custom logs tables you created. While streaming the data you can parse and transform the contents using the DCR. After collecting the data, you can apply analytic rules, hunting, searching, threat intelligence, enrichments and more. NOTE: Use this connector for the following devices: Cisco Meraki, Zscaler Private Access (ZPA), VMware vCenter, Apache HTTP server, Apache Tomcat, Jboss Enterprise application platform, Juniper IDP, MarkLogic Audit, MongoDB Audit, Nginx HTTP server, Oracle Weblogic server, PostgreSQL Events, Squid Proxy, Ubiquiti UniFi, SecurityBridge Threat detection SAP and AI vectra stream.","JBossEvent_CL; JuniperIDP_CL; ApacheHTTPServer_CL; Tomcat_CL; meraki_CL; VectraStream_CL; MarkLogicAudit_CL; MongoDBAudit_CL; NGINX_CL; OracleWebLogicServer_CL; PostgreSQL_CL; SquidProxy_CL; Ubiquiti_CL; vcenter_CL; ZPA_CL; SecurityBridgeLogs_CL","FALSE","Microsoft Corporation"
"Cyber Blind Spot Integration (using Azure Functions)","Through the API integration, you have the capability to retrieve all the issues related to your CBS organizations via a RESTful interface.","CBSLog_Azure_1_CL","FALSE","Cyber Threat Management 360"
"CyberArkAudit (using Azure Functions)","The CyberArk Audit data connector provides the capability to retrieve security event logs of the CyberArk Audit service and more events into Microsoft Sentinel through the REST API. The connector enables event retrieval to assess potential security risks, monitor collaboration, and diagnose and troubleshoot configuration issues.","CyberArk_AuditEvents_CL","FALSE","CyberArk Support"
"CyberArkEPM (using Azure Functions)","The CyberArk Endpoint Privilege Manager data connector provides the capability to retrieve security event logs of the CyberArk EPM services and more events into Microsoft Sentinel through the REST API. The connector enables event retrieval to assess potential security risks, monitor collaboration, and diagnose and troubleshoot configuration issues.","CyberArkEPM_CL","FALSE","CyberArk Support"
"Cyberpion Security Logs","The Cyberpion Security Logs data connector, ingests logs from the Cyberpion system directly into Sentinel. The connector allows users to visualize their data, create alerts and incidents and improve security investigations.","CyberpionActionItems_CL","FALSE","Cyberpion"
"Cybersixgill Actionable Alerts (using Azure Functions)","Actionable alerts provide customized alerts based on configured assets","CyberSixgill_Alerts_CL","FALSE","Cybersixgill"
"Cyborg Security HUNTER Hunt Packages","Cyborg Security is a leading provider of advanced threat hunting solutions, with a mission to empower organizations with cutting-edge technology and collaborative tools to proactively detect and respond to cyber threats. Cyborg Security's flagship offering, the HUNTER Platform, combines powerful analytics, curated threat hunting content, and comprehensive hunt management capabilities to create a dynamic ecosystem for effective threat hunting operations. Follow the steps to gain access to Cyborg Security's Community and setup the 'Open in Tool' capabilities in the HUNTER Platform.","SecurityEvent","FALSE","Cyborg Security"
"CYFIRMA Attack Surface","No Connector Description available.","CyfirmaASCertificatesAlerts_CL; CyfirmaASConfigurationAlerts_CL; CyfirmaASDomainIPReputationAlerts_CL; CyfirmaASOpenPortsAlerts_CL; CyfirmaASCloudWeaknessAlerts_CL; CyfirmaASDomainIPVulnerabilityAlerts_CL","FALSE","CYFIRMA"
"CYFIRMA Brand Intelligence","No Connector Description available.","CyfirmaBIDomainITAssetAlerts_CL; CyfirmaBIExecutivePeopleAlerts_CL; CyfirmaBIProductSolutionAlerts_CL; CyfirmaBISocialHandlersAlerts_CL; CyfirmaBIMaliciousMobileAppsAlerts_CL","FALSE","CYFIRMA"
"CYFIRMA Compromised Accounts","The CYFIRMA Compromised Accounts data connector enables seamless log ingestion from the DeCYFIR/DeTCT API into Microsoft Sentinel. Built on the Microsoft Sentinel Codeless Connector Framework, it leverages the DeCYFIR/DeTCT API to retrieve logs. Additionally, it supports DCR-based ingestion time transformations , which parse security data into a custom table during ingestion. This eliminates the need for query-time parsing, enhancing performance and efficiency.","CyfirmaCompromisedAccounts_CL","FALSE","CYFIRMA"
